date;Heat Flux;T1;T2;U;Analysis period (0=no, 1 = yes);U24;U2/3s;U2/3e;
2019-02-27 10:10:28;36.8829498291016;22.125;10.375;;0;0;0;0;
2019-02-27 10:20:28;27.4465980529785;22.25;10.875;;0;0;0;0;
2019-02-27 10:30:28;30.7949810028076;22.375;11;;0;0;0;0;
2019-02-27 10:40:28;27.4465980529785;22.5;11.8125;;0;0;0;0;
2019-02-27 10:50:28;24.3011455535889;22.625;11.5;;0;0;0;0;
2019-02-27 11:00:28;24.9099426269531;22.625;11.75;;0;0;0;0;
2019-02-27 11:10:28;22.9820861816406;22.6875;11.9375;;0;0;0;0;
2019-02-27 11:20:28;24.6055450439453;22.875;12.125;;0;0;0;0;
2019-02-27 11:30:28;23.4894161224365;22.875;12.5;;0;0;0;0;
2019-02-27 11:40:28;22.271821975708;23.0625;12.9375;;0;0;0;0;
2019-02-27 11:50:28;19.9381008148193;23;13;;0;0;0;0;
2019-02-27 12:00:28;21.8659591674805;23.125;13.5625;;0;0;0;0;
2019-02-27 12:10:28;16.3867855072021;23.125;13.6875;;0;0;0;0;
2019-02-27 12:20:28;18.5175743103027;23.0625;14.125;;0;0;0;0;
2019-02-27 12:30:28;12.0237407684326;20.9375;14.25;;0;0;0;0;
2019-02-27 12:40:28;15.980920791626;21.9375;14.25;;0;0;0;0;
2019-02-27 12:50:28;17.6043796539307;22.875;14.4375;;0;0;0;0;
2019-02-27 13:00:28;16.4882507324219;22.8125;14.3125;;0;0;0;0;
2019-02-27 13:10:28;15.4735898971558;22.9375;14.75;;0;0;0;0;
2019-02-27 13:20:28;16.7926502227783;22.875;14.75;;0;0;0;0;
2019-02-27 13:30:28;17.5029125213623;23;14.875;;0;0;0;0;
2019-02-27 13:40:28;16.0823860168457;23;15.25;;0;0;0;0;
2019-02-27 13:50:28;14.1545295715332;23.125;15.125;;0;0;0;0;
2019-02-27 14:00:28;14.7633266448975;23.125;15;;0;0;0;0;
2019-02-27 14:10:28;17.1985149383545;23.125;15.25;;0;0;0;0;
2019-02-27 14:20:28;16.69118309021;23;15.125;;0;0;0;0;
2019-02-27 14:30:28;14.6618604660034;22.875;15.375;;0;0;0;0;
2019-02-27 14:40:28;16.894115447998;22.9375;15.375;;0;0;0;0;
2019-02-27 14:50:28;17.8073120117188;23.125;15.375;;0;0;0;0;
2019-02-27 15:00:28;17.1985149383545;23.125;15.3125;;0;0;0;0;
2019-02-27 15:10:28;16.0823860168457;23.1875;15.5;;0;0;0;0;
2019-02-27 15:20:28;18.416109085083;23;15.375;;0;0;0;0;
2019-02-27 15:30:28;16.4882507324219;22.875;15.25;;0;0;0;0;
2019-02-27 15:40:28;17.7058448791504;22.875;15.5;;0;0;0;0;
2019-02-27 15:50:28;19.126371383667;22.875;15.375;;0;0;0;0;
2019-02-27 16:00:28;18.416109085083;22.875;15.375;;0;0;0;0;
2019-02-27 16:10:28;19.126371383667;22.9375;15.25;;0;0;0;0;
2019-02-27 16:20:28;19.3293037414551;22.875;15.25;;0;0;0;0;
2019-02-27 16:30:28;21.4600944519043;22.8125;15;;0;0;0;0;
2019-02-27 16:40:28;22.3732891082764;22.625;15;;0;0;0;0;
2019-02-27 16:50:28;22.7791538238525;22.5;14.9375;;0;0;0;0;
2019-02-27 17:00:28;23.9967479705811;22.5;14.75;;0;0;0;0;
2019-02-27 17:10:28;25.9246044158936;22.5;14.625;;0;0;0;0;
2019-02-27 17:20:28;27.3451309204102;22.5625;14.5;;0;0;0;0;
2019-02-27 17:30:28;27.2436656951904;22.5;14.3125;;0;0;0;0;
2019-02-27 17:40:28;27.6495304107666;22.375;14.1875;;0;0;0;0;
2019-02-27 17:50:28;29.1715221405029;22.25;14;;0;0;0;0;
2019-02-27 18:00:28;29.6788520812988;22.25;13.375;;0;0;0;0;
2019-02-27 18:10:28;30.8964462280273;22.25;12.4375;;0;0;0;0;
2019-02-27 18:20:28;33.1287040710449;22.125;11.625;;0;0;0;0;
2019-02-27 18:30:28;31.7081756591797;22.125;11.375;;0;0;0;0;
2019-02-27 18:40:28;36.2741546630859;22.125;10.875;;0;0;0;0;
2019-02-27 18:50:28;32.9257698059082;22.0625;11.0625;;0;0;0;0;
2019-02-27 19:00:28;33.3316345214844;22;10.625;;0;0;0;0;
2019-02-27 19:10:28;36.6800193786621;21.875;10.3125;;0;0;0;0;
2019-02-27 19:20:28;34.6506958007813;21.875;9.875;;0;0;0;0;
2019-02-27 19:30:28;35.7668228149414;21.75;9.5;;0;0;0;0;
2019-02-27 19:40:28;37.4917488098145;21.6875;10.125;;0;0;0;0;
2019-02-27 19:50:28;36.6800193786621;21.75;9.875;;0;0;0;0;
2019-02-27 20:00:28;36.7814826965332;21.625;9.25;;0;0;0;0;
2019-02-27 20:10:28;39.6225357055664;21.625;9.125;;0;0;0;0;
2019-02-27 20:20:28;36.7814826965332;21.5;9;;0;0;0;0;
2019-02-27 20:30:28;39.6225357055664;21.5;8.6875;;0;0;0;0;
2019-02-27 20:40:28;38.5064086914063;21.5;8.4375;;0;0;0;0;
2019-02-27 20:50:28;40.3328018188477;21.4375;8.25;;0;0;0;0;
2019-02-27 21:00:28;40.7386665344238;21.375;8.125;;0;0;0;0;
2019-02-27 21:10:28;39.6225357055664;21.5;8.5;;0;0;0;0;
2019-02-27 21:20:28;38.5064086914063;21.375;8;;0;0;0;0;
2019-02-27 21:30:28;39.9269371032715;21.3125;7.625;;0;0;0;0;
2019-02-27 21:40:28;40.2313346862793;21.25;7.375;;0;0;0;0;
2019-02-27 21:50:28;42.3621215820313;21.25;7.375;;0;0;0;0;
2019-02-27 22:00:28;44.4929122924805;21.25;7.5;;0;0;0;0;
