date;Heat Flux;T1;T2;U;Analysis period (0=no, 1 = yes);U24;U2/3s;U2/3e;
2019-02-20 03:24:27;39.6789970397949;20.5625;6;;0;0;0;0;
2019-02-20 03:34:27;38.8451118469238;20.625;5.875;;0;0;0;0;
2019-02-20 03:44:27;41.0688056945801;20.5;5.5;;0;0;0;0;
2019-02-20 03:54:27;41.2077865600586;20.5625;5.4375;;0;0;0;0;
2019-02-20 04:04:27;42.0416679382324;20.625;5.125;;0;0;0;0;
2019-02-20 04:14:27;43.5704574584961;20.5625;4.8125;;0;0;0;0;
2019-02-20 04:24:27;44.8212852478027;20.6875;4.75;;0;0;0;0;
2019-02-20 04:34:27;44.6823043823242;20.9375;4.4375;;0;0;0;0;
2019-02-20 04:44:27;47.3229370117188;21.25;4.25;;0;0;0;0;
2019-02-20 04:54:27;46.3500709533691;21.5;4.25;;0;0;0;0;
2019-02-20 05:04:27;50.6584739685059;21.5;4.3125;;0;0;0;0;
2019-02-20 05:14:27;51.0754165649414;21.5;4.4375;;0;0;0;0;
2019-02-20 05:24:27;47.1839561462402;21.5;4.625;;0;0;0;0;
2019-02-20 05:34:27;47.4619178771973;21.625;4.5;;0;0;0;0;
2019-02-20 05:44:27;45.6551666259766;21.6875;4.875;;0;0;0;0;
2019-02-20 05:54:27;50.1025505065918;21.75;4.875;;0;0;0;0;
2019-02-20 06:04:27;47.7398796081543;21.875;4.5;;0;0;0;0;
2019-02-20 06:14:27;47.6008987426758;21.75;4.5;;0;0;0;0;
2019-02-20 06:24:27;46.4890518188477;21.875;4.625;;0;0;0;0;
2019-02-20 06:34:27;53.4380874633789;21.8125;4.375;;0;0;0;0;
2019-02-20 06:44:27;46.4890518188477;21.875;4.625;;0;0;0;0;
2019-02-20 06:54:27;46.6280326843262;22;4.875;;0;0;0;0;
2019-02-20 07:04:27;46.2110900878906;22;4.75;;0;0;0;0;
2019-02-20 07:14:27;44.4043426513672;22.0625;4.5625;;0;0;0;0;
2019-02-20 07:24:27;46.7670135498047;22;4.625;;0;0;0;0;
2019-02-20 07:34:27;46.4890518188477;22.125;4.6875;;0;0;0;0;
2019-02-20 07:44:27;43.014533996582;22.25;5;;0;0;0;0;
2019-02-20 07:54:27;40.512882232666;22.125;5.125;;0;0;0;0;
2019-02-20 08:04:27;41.7637062072754;22.375;5.6875;;0;0;0;0;
2019-02-20 08:14:27;37.733268737793;22.25;5.6875;;0;0;0;0;
2019-02-20 08:24:27;37.1773452758789;22.375;6.125;;0;0;0;0;
2019-02-20 08:34:27;37.733268737793;22.375;6.25;;0;0;0;0;
2019-02-20 08:44:27;35.7875366210938;22.5625;6.5625;;0;0;0;0;
