v1,v2
-13.173099999999998,27.8736
-12.718229999999998,27.32738
-13.651000000000003,26.96323
-14.21901,29.115
-13.910840000000004,27.95636
-13.87369,28.80051
-14.2562,28.15498
-14.275920000000003,27.65842
-13.837890000000002,28.17153
-12.969470000000001,28.12188
-12.62848,28.15498
-13.578219999999998,28.05567
-14.218689999999999,27.80739
-14.121209999999998,29.16465
-14.347959999999997,28.41981
-14.648399999999999,29.57845
-14.502380000000002,29.28052
-14.23482,28.71775
-13.504850000000005,29.06534
-12.774250000000002,29.61156
-12.38476,30.24053
-12.01106,29.6447
-12.96076,30.17436
-13.44755,30.00889
-13.487839999999998,30.60477
-13.39076,29.59515
-13.374379999999999,29.79382
-13.09799,29.61175
-12.52175,30.17456
-12.18092,29.76076
-11.88045,30.04217
-13.23604,31.01875
-13.698730000000001,32.4257
-13.325309999999998,31.20084
-13.30088,31.71397
-13.146550000000001,32.01191
-12.789820000000002,31.13464
-12.326779999999996,31.13464
-11.953420000000001,31.49878
-12.04308,32.30984
-13.487760000000002,31.01875
-13.903929999999999,32.82294
-13.666170000000005,31.33323
-13.173069999999996,31.63116
-12.79166,31.33321
-12.30181,32.34289
-11.928769999999997,32.32631
-11.53077,32.09459
-12.683750000000003,31.6311
-13.575599999999998,31.36627
-13.632100000000005,31.69729
-13.340080000000004,32.12764
-12.529020000000003,32.65729
-12.017370000000003,33.17041
-11.652450000000002,32.37589
-11.319060000000004,31.8793
-12.366889999999998,32.62415
-13.202750000000002,31.73032
-13.389090000000003,33.61726
-13.291900000000002,33.43517
-13.032089999999997,32.59101
-12.707640000000001,33.15377
-12.317839999999997,33.08756
-11.862959999999998,33.79928
-11.457,33.38548
-11.180840000000003,33.48478
-12.058409999999999,33.63375
-12.80501,33.61719
-13.015849999999997,33.78271
-12.9587,34.11375
-12.86964,34.75927
-12.49239,32.97165
-11.95973,34.21305
-11.537880000000001,34.01442
-11.221129999999999,33.79924
-11.1155,33.26957
-11.180719999999997,35.45443
-11.107800000000001,35.00753
-10.855089999999997,34.61028
-10.83897,34.8089
-11.9926,34.842
-12.812659999999997,35.22269
-13.032009999999996,35.20614
-12.934119999999997,35.00751
-12.730910000000002,34.84199
-12.27628,35.71925
-11.813699999999997,36.03374
-11.366969999999995,35.33855
-11.107579999999995,36.48064
-10.831129999999998,36.33168
-10.676269999999995,35.00751
-11.074700000000004,36.61306
-12.36582,36.19926
-12.909859999999998,35.33855
-12.95026,35.96753
-12.162769999999998,36.00063
-11.580509999999997,34.32888
-11.13671,36.1165
-10.83906,35.50407
-10.594940000000001,36.28202
-10.432100000000002,36.39788
-11.585780000000003,36.4972
-12.501250000000002,36.03374
-12.755019999999998,36.24891
-12.593199999999996,35.00751
-11.773109999999999,35.91787
-11.367209999999996,36.16615
-10.968719999999998,36.23236
-10.70888,37.15928
-10.489,36.89445
-10.90379,36.08339
-12.139159999999997,37.7386
-12.503429999999998,35.86822
-12.535900000000002,36.99376
-12.016169999999999,36.62961
-11.309520000000003,36.29857
-10.780870000000004,36.03374
-10.635090000000002,37.65583
-10.47523,36.84479
-10.627550000000003,37.90412
-12.138869999999997,38.01998
-12.072959999999998,37.391
-11.926959999999998,37.67239
-12.405719999999999,37.63929
-11.723949999999999,37.05996
-12.470570000000002,37.7717
-12.186700000000002,38.49999
-11.87793,37.02686
-12.32462,38.53309
-11.795949999999998,36.92755
-11.974420000000002,37.3579
-12.20213,37.29169
-12.209930000000004,36.96065
-11.67444,37.75515
-10.886320000000001,38.96344
-10.50479,37.65583
-10.212130000000002,37.57307
-10.09017,37.90412
-11.17896,38.25171
-11.739329999999999,38.08619
-11.934140000000003,38.31792
-11.967089999999999,37.95377
-11.47155,38.51654
-11.731289999999998,38.00343
-12.07762,38.86414
-11.853089999999998,38.78137
-11.45588,38.68206
-11.114080000000001,38.01998
-10.740299999999998,38.1855
-10.471889999999998,37.87101
-10.292850000000001,38.96344
-10.073129999999999,38.01998
-9.935049999999997,37.85446
-9.79681,37.92067
-9.691279999999995,39.8076
-9.902930000000001,37.58963
-11.455720000000003,38.66551
-11.552890000000001,39.70829
-10.813590000000001,38.81448
-11.763739999999999,40.6352
-11.325009999999995,39.82415
-11.747500000000002,39.50966
-11.340950000000003,39.47656
-10.977790000000002,40.43658
-11.809759999999997,38.66551
-10.837629999999997,38.45033
-11.373690000000003,38.08619
-11.70646,38.41723
-11.714189999999999,37.55652
-11.901180000000004,39.3938
-11.665389999999999,38.74827
-11.186420000000002,39.47656
-10.43057,38.20205
-9.97559,39.60897
-9.7483,40.71796
-9.56117,38.16895
-9.316570000000002,38.35102
-9.283910000000002,39.90691
-9.714849999999998,38.69861
-11.113150000000001,40.85038
-10.593259999999997,39.34414
-10.917950000000005,39.26138
-11.251469999999998,39.60897
-11.62547,41.52901
-11.365269999999999,41.049
-10.886029999999998,39.16207
-10.373809999999995,39.17862
-10.170449999999999,38.78137
-9.852970000000003,39.26138
-9.698979999999995,40.23795
-9.525580000000001,39.69173
-9.3629,39.72484
-9.283800000000003,40.46968
-9.186789999999998,40.18829
-10.040519999999997,39.04621
-10.95062,40.20485
-10.186519999999998,40.94969
-11.015460000000001,39.41035
-10.430529999999997,40.17175
-10.560700000000004,40.90003
-10.91049,40.83382
-10.373210000000004,39.17862
-11.039539999999999,39.60897
-11.478469999999998,39.17862
-11.535089999999997,40.37037
-11.17764,39.34414
-10.42997,40.17175
-10.00215,40.70141
-9.68826,40.43658
-9.47337,40.50278
-9.316159999999996,40.70141
-9.22693,40.40347
-9.055769999999999,40.25451
-8.950190000000003,40.33727
-8.885210000000004,40.93313
-8.844630000000002,40.46968
-8.730649999999997,39.64208
-9.68243,40.38692
-10.50327,41.52901
-9.950569999999999,39.8407
-10.527729999999998,40.73451
-10.837019999999999,41.67798
-9.674100000000003,40.02277
-10.259359999999997,40.03933
-10.78827,42.47247
-10.170219999999997,40.65175
-10.755840000000003,41.06555
-10.414279999999998,40.37037
-9.917910000000003,41.34694
-10.535990000000002,40.42002
-11.055960000000002,39.72484
-11.006920000000004,40.25451
-10.64948,40.65175
-10.22684,40.10553
-9.690169999999998,39.67518
-9.161480000000001,42.07522
-8.827580000000001,40.71796
-8.623960000000004,40.10553
-8.611699999999999,40.30416
-8.60014,42.05867
-8.59262,40.30416
-8.511390000000002,41.06555
-8.340039999999998,40.17175
-8.380510000000001,40.20485
-9.576550000000001,40.99934
-10.10482,40.68486
-10.26773,42.58834
