tint,text,q
23.32595,11.106,-0.6908181
23.30955,11.21041,-0.6687119
23.33894,10.8204,-0.679765
23.32255,10.62119,-0.740557
23.33075,10.57968,-0.7681897
23.34967,10.86447,-0.7571366
23.34967,11.01958,-0.801349
23.34967,11.13001,-0.8510879
23.34967,11.30423,-0.8345082
23.34148,11.11342,-0.9395126
23.34148,10.62375,-0.9671453
23.34967,10.54073,-1.044517
23.37906,10.81123,-0.9008268
23.37087,10.97721,-0.9063533
23.36267,11.14316,-0.862141
23.36267,11.23442,-0.801349
23.34627,11.22613,-0.8234552
23.37567,10.72822,-0.7681897
23.34627,10.72478,-0.983725
23.37567,10.67498,-0.9063533
23.37567,10.87418,-0.9118798
23.37567,11.01526,-1.011358
23.37567,11.30565,-0.9892515
23.37567,11.28906,-0.9892515
23.38386,11.4681,-1.016884
23.40505,11.10309,-1.000305
23.40505,10.76284,-1.110836
23.42144,10.84584,-1.116362
23.42144,10.97862,-1.044517
23.41325,11.10309,-1.066623
23.44264,11.31536,-1.066623
23.43444,11.46466,-1.044517
23.43444,11.55589,-1.011358
23.43444,11.09965,-1.088729
23.42625,10.8507,-1.077676
23.42625,10.9005,-1.132942
23.45564,10.98834,-0.9892515
23.43924,11.1377,-0.983725
23.43105,11.22067,-0.9671453
23.42285,11.32851,-0.9450391
23.41465,11.46123,-0.9616187
23.41465,11.03813,-0.994778
23.41465,10.73106,-1.044517
23.43584,10.84382,-0.9781984
23.42765,10.9932,-0.983725
23.42765,11.20893,-0.994778
23.41125,11.29189,-0.9671453
23.41125,11.4412,-1.000305
23.41125,11.65682,-0.9892515
23.41125,11.73145,-0.994778
23.44065,11.40458,-1.110836
23.44065,10.97316,-1.237946
23.44065,10.89018,-1.121889
23.44065,11.13912,-1.05557
23.43245,11.31334,-1.077676
23.44065,11.38799,-1.099782
23.46184,11.52555,-1.099782
23.46184,11.64165,-1.121889
23.46184,11.75774,-1.132942
23.45364,11.48408,-1.271105
23.45364,11.09419,-1.387163
23.46184,11.08589,-1.254526
23.48897,11.17716,-1.177154
23.48897,11.29588,-1.204787
23.48077,11.51154,-1.193734
23.47258,11.61106,-1.19926
23.47258,11.7769,-1.188207
23.46438,11.90955,-1.19926
23.47258,11.78519,-1.326371
23.49377,11.01036,-1.21584
23.50197,10.71988,-1.354003
23.49377,10.72818,-1.243473
23.49377,10.96057,-1.149521
23.47738,11.22608,-1.121889
23.46918,11.25097,-1.099782
23.46099,11.3754,-1.07215
23.4446,11.55787,-1.05557
23.4446,11.65738,-1.033464
23.4282,11.81978,-1.000305
23.44939,11.90268,-1.022411
23.4412,11.37196,-0.9671453
23.4412,11.0733,-1.210313
23.4412,11.17287,-1.05557
23.4624,11.29387,-1.044517
23.4542,11.42173,-0.994778
23.446,11.60076,-0.9781984
23.43781,11.65051,-1.000305
23.42961,11.71685,-0.9560922
23.42141,11.82464,-0.9560922
23.40502,11.88267,-1.044517
23.40502,11.88267,-0.9560922
23.39682,11.88267,-1.000305
23.41802,11.97871,-0.9450391
23.40982,12.1362,-0.9505656
23.40162,12.21079,-0.9781984
23.41802,11.89582,-1.099782
23.40162,11.58074,-1.07215
23.40162,11.51439,-1.061097
23.40162,11.69683,-1.016884
23.38523,11.7929,-1.005831
23.41463,11.89239,-1.011358
23.39824,11.92555,-1.000305
23.39824,11.99187,-1.011358
23.39004,12.04989,-1.027937
23.39824,12.06647,-1.160574
23.39824,12.09962,-1.121889
23.39824,12.09133,-1.193734
23.39824,12.14935,-1.143995
23.38184,12.29023,-1.05557
23.38184,12.12935,-1.116362
23.40304,11.67339,-1.061097
23.40304,11.57388,-1.149521
23.39485,11.6651,-1.03899
23.37845,11.88896,-1.044517
23.37845,11.96357,-1.022411
23.39145,12.05961,-1.005831
23.35386,12.0962,-0.994778
23.37506,12.20051,-0.9781984
23.35866,12.24194,-0.9781984
23.35866,12.44909,-0.9892515
23.35866,11.96843,-1.05557
23.35046,11.57874,-1.03899
23.34227,11.59533,-1.05557
23.34227,11.68654,-0.9560922
23.32587,11.80262,-0.933986
23.33888,11.99816,-0.8897737
23.33888,12.13078,-0.9229329
23.33068,12.26338,-0.9560922
23.32248,12.21366,-0.933986
23.31429,12.32967,-0.933986
23.31429,12.49538,-0.9229329
23.30609,12.3711,-1.03899
23.30609,12.12249,-1.027937
23.30609,12.08105,-1.000305
23.31909,12.14392,-1.05557
23.31909,12.26824,-1.022411
23.31089,12.37596,-1.033464
23.3027,12.48367,-1.088729
23.3027,12.59136,-0.994778
23.2945,12.60793,-1.022411
23.2863,12.64107,-1.022411
23.2863,12.04446,-1.05557
23.2781,11.83722,-1.116362
23.26991,11.81235,-1.088729
23.26991,11.9367,-1.05557
23.26991,12.0196,-1.099782
23.26991,12.07762,-1.05557
23.28292,12.25995,-1.132942
23.29111,12.43054,-1.044517
23.29111,12.55481,-1.116362
23.27472,12.70392,-1.110836
23.26652,12.81159,-1.066623
23.26652,12.72877,-1.094256
23.26652,12.62108,-1.110836
23.25012,12.62108,-1.027937
23.24193,12.70392,-1.027937
23.24193,12.81987,-1.03899
23.23373,12.91925,-1.094256
23.23373,12.43882,-1.171627
23.24193,11.88354,-1.232419
