v1,v2
-2.754629999999999,2.564146
-2.8283400000000007,2.525463
-3.123079999999998,2.707826
-3.384999999999998,2.542041
-3.507749999999998,2.77414
-3.5732099999999996,2.597303
-3.589579999999998,2.542041
-3.5404399999999967,2.624934
-3.4913399999999974,2.508884
-3.442239999999998,2.519936
-3.4094799999999985,2.425991
-3.376719999999999,2.470201
-3.3439799999999984,2.32652
-3.30312,2.287837
-3.2785399999999996,2.337573
-3.2621800000000007,2.32652
-3.24578,2.287837
-3.2211999999999996,2.199418
-3.1966199999999994,2.204944
-3.18844,2.249154
-3.18844,2.149683
-3.1720599999999983,2.21047
-3.1720599999999983,2.166261
-3.1556800000000003,2.265732
-3.1474900000000012,2.166261
-3.2375299999999996,2.088895
-3.712109999999999,2.055737
-4.022919999999999,2.061264
-4.145600000000002,2.110999
-4.178380000000001,2.050211
-4.121099999999998,2.088895
-4.072050000000001,2.144156
-4.00656,2.017054
-3.941130000000001,2.044685
-3.9002300000000005,2.122052
-3.8429399999999987,2.055737
-3.834819999999997,2.055737
-3.793890000000001,2.127578
-3.7693499999999993,2.116525
-3.752980000000001,2.055737
-3.7367199999999983,2.077842
-3.703960000000002,2.011528
-3.6875999999999998,2.077842
-3.663029999999999,1.99495
-3.6630600000000015,1.989423
-3.6384799999999977,2.050211
-3.6384799999999977,2.011528
-3.6302999999999983,2.088895
-3.7039399999999993,2.039159
-4.137460000000001,2.000476
-4.415489999999998,1.99495
-4.65258,2.017054
-4.717980000000001,2.011528
-4.73432,1.917583
-4.701619999999998,2.050211
-4.628029999999999,2.110999
-4.5707699999999996,2.000476
-4.521750000000001,2.017054
-4.46452,1.917583
-4.407259999999997,1.945214
-4.3663799999999995,1.939688
-4.341849999999997,1.923109
-4.3337,1.945214
-4.309170000000002,2.006002
-4.28464,1.923109
-4.268280000000001,1.961792
-4.24372,1.945214
-4.235580000000002,1.939688
-4.21922,2.055737
-4.202829999999999,2.02258
-4.1864799999999995,2.050211
-4.1784,1.95074
-4.19481,1.95074
