v1,v2
11.75,36.8829498291016
11.375,27.4465980529785
11.375,30.7949810028076
10.6875,27.4465980529785
11.125,24.3011455535889
10.875,24.9099426269531
10.75,22.9820861816406
10.75,24.6055450439453
10.375,23.4894161224365
10.125,22.271821975708
10.0,19.9381008148193
9.5625,21.8659591674805
9.4375,16.3867855072021
8.9375,18.5175743103027
6.6875,12.0237407684326
7.6875,15.980920791626
8.4375,17.6043796539307
8.5,16.4882507324219
8.1875,15.4735898971558
8.125,16.7926502227783
8.125,17.5029125213623
7.75,16.0823860168457
8.0,14.1545295715332
8.125,14.7633266448975
7.875,17.1985149383545
7.875,16.69118309021
7.5,14.6618604660034
7.5625,16.894115447998
7.75,17.8073120117188
7.8125,17.1985149383545
7.6875,16.0823860168457
7.625,18.416109085083
7.625,16.4882507324219
7.375,17.7058448791504
7.5,19.126371383667
7.5,18.416109085083
7.6875,19.126371383667
7.625,19.3293037414551
7.8125,21.4600944519043
7.625,22.3732891082764
7.5625,22.7791538238525
7.75,23.9967479705811
7.875,25.9246044158936
8.0625,27.3451309204102
8.1875,27.2436656951904
8.1875,27.6495304107666
8.25,29.1715221405029
8.875,29.6788520812988
9.8125,30.8964462280273
10.5,33.1287040710449
10.75,31.7081756591797
11.25,36.2741546630859
11.0,32.9257698059082
11.375,33.3316345214844
11.5625,36.6800193786621
12.0,34.6506958007813
12.25,35.7668228149414
11.5625,37.4917488098145
11.875,36.6800193786621
12.375,36.7814826965332
12.5,39.6225357055664
12.5,36.7814826965332
12.8125,39.6225357055664
13.0625,38.5064086914063
13.1875,40.3328018188477
13.25,40.7386665344238
13.0,39.6225357055664
13.375,38.5064086914063
13.6875,39.9269371032715
13.875,40.2313346862793
13.875,42.3621215820313
13.75,44.4929122924805
13.9375,41.2459945678711
13.6875,42.1591911315918
14.0,40.3328018188477
13.8125,41.2459945678711
13.875,41.3474617004395
13.875,41.0430641174316
13.9375,44.8987770080566
14.0625,41.2459945678711
14.25,43.8841171264648
14.5,41.854793548584
14.25,43.0723876953125
14.25,42.9709205627441
14.125,44.5943794250488
14.1875,43.0723876953125
14.4375,41.1445274353027
14.625,41.854793548584
14.8125,43.6811828613281
15.0,42.4635887145996
14.875,42.9709205627441
14.75,43.275318145752
15.25,44.289981842041
15.5,44.289981842041
15.5625,46.1163711547852
15.625,45.4061088562012
15.25,46.1163711547852
15.5,49.6676864624023
15.75,44.7973098754883
16.0,46.0149040222168
15.875,48.0442276000977
16.0625,47.3339653015137
16.125,45.6090393066406
16.1875,46.3193054199219
16.25,46.0149040222168
16.375,46.3193054199219
16.5,49.4647560119629
17.125,46.3193054199219
17.0,48.145694732666
17.1875,46.5222358703613
16.9375,48.2471618652344
17.125,48.85595703125
17.375,49.6676864624023
17.5,49.7691535949707
17.5625,52.2043418884277
17.625,48.6530265808105
17.6875,49.7691535949707
17.5625,49.566219329834
17.75,53.8278007507324
17.9375,49.7691535949707
17.875,55.3497924804688
18.0625,53.2190017700195
18.0,51.0882148742676
18.125,52.1028747558594
18.0,50.0735511779785
17.6875,51.5955429077148
17.3125,49.4647560119629
17.25,51.5955429077148
17.1875,48.3486251831055
16.375,44.3914451599121
15.9375,45.000244140625
