v1,v2
-9.883420000000001,31.2339
-9.509709999999998,32.01188
-8.843249999999998,31.30014
-8.34714,31.71396
-8.127379999999999,32.45881
-7.9402500000000025,31.96225
-7.834590000000002,31.5981
-7.712350000000004,31.36637
-7.622850000000003,31.89604
-8.509409999999999,31.78017
-9.59842,31.74706
-8.94848,32.21051
-9.387229999999999,32.06154
-9.338350000000002,31.79669
-8.81005,32.02842
-9.760909999999999,32.54152
-8.956610000000001,31.71391
-9.021569999999997,32.35942
-9.68748,31.18422
-9.19972,31.36627
-9.483990000000002,31.26696
-9.012669999999996,31.99523
-8.971850000000003,31.25036
-9.557110000000002,31.36623
-8.57393,31.59794
-9.43524,31.03517
-8.874670000000002,31.74689
-9.102069999999998,31.59792
-9.638269999999999,31.01858
-9.751799999999996,30.88616
-9.857520000000001,31.18409
-9.06118,30.83649
-8.500180000000004,31.10131
-8.199270000000002,31.06821
-7.996319999999997,30.70405
-7.841769999999997,31.21716
-7.73601,32.06131
-7.6383399999999995,31.31647
-7.516169999999999,31.29991
-7.426780000000001,31.29991
-7.337300000000003,31.38266
-7.296659999999999,31.16748
-7.21537,31.21713
-7.149979999999999,31.29989
-7.076730000000001,32.19369
-6.97092,32.24335
-6.92212,32.78956
-6.84057,31.34953
-6.783630000000002,31.48195
-8.012340000000002,31.4985
-8.32143,31.63091
-8.459490000000002,31.34952
-8.296970000000002,31.33297
-8.044810000000002,31.46538
-7.898310000000002,31.26676
-7.743649999999999,31.29986
-7.605159999999998,31.73022
-7.499389999999998,31.48194
-7.3856299999999955,32.0116
-7.247070000000001,31.34952
-7.125050000000002,31.82953
-7.052010000000003,31.87918
-6.929920000000003,31.29986
-6.840209999999999,31.13434
-6.79119,31.05158
-6.72625,31.5647
-6.66103,31.06813
-6.653019999999998,30.81985
-6.538820000000001,30.8033
-6.48997,31.39917
-6.481999999999999,30.8364
-6.416820000000001,31.05158
-6.310740000000003,30.8364
-6.245470000000001,31.43228
-6.253820000000001,30.7702
-6.53068,31.36607
-7.783669999999997,30.90261
-7.873239999999996,30.86951
-6.953849999999999,30.48881
-6.628060000000001,31.20055
-6.546789999999998,31.34952
-6.53059,29.87639
-6.4162,30.15777
-6.31841,30.25709
-6.2205200000000005,30.27364
-6.228919999999999,30.24053
-6.16385,30.37295
-6.147559999999999,30.20743
-6.107009999999999,30.40605
-6.009069999999998,30.45571
-5.903029999999998,30.57157
-5.878640000000001,30.43916
-6.7905000000000015,30.50537
-7.3927900000000015,30.50537
-7.392649999999996,30.58813
-7.327619999999996,30.47226
-7.1973400000000005,30.37295
-7.099879999999999,30.57157
-6.969759999999997,30.17432
-6.823219999999999,30.55502
-6.7011199999999995,30.60468
-6.56268,30.37295
-6.415959999999998,30.57157
-6.3264,30.48881
-6.261390000000002,30.52192
-6.212690000000002,30.45571
-6.1066199999999995,30.45571
-5.992440000000002,30.45571
-5.89451,30.33985
-5.845670000000002,30.17432
-5.85398,30.10812
-5.788610000000002,30.07501
-5.715140000000002,30.00881
-5.6253100000000025,29.9757
-5.5682800000000015,29.99225
-5.5440000000000005,30.40605
-5.5032700000000006,29.77708
-5.5032700000000006,29.81018
-5.4543099999999995,29.9757
-5.3727599999999995,29.76052
-5.340240000000001,29.34672
-5.33193,29.54535
-5.250320000000002,29.42948
-5.250419999999998,29.47914
-5.209679999999999,29.67776
-5.23423,29.42948
-5.19342,29.44604
-5.152669999999997,29.64466
-5.111889999999999,29.47914
-5.926770000000001,29.39638
-7.058160000000001,29.37983
-6.431519999999999,29.21431
-5.69849,29.24741
-7.017449999999997,29.24741
-6.675650000000001,28.86672
-5.97533,28.85016
-6.708019999999998,28.71775
-7.009259999999998,29.9757
-7.481180000000002,28.94948
-7.432380000000002,29.08189
-7.1476299999999995,29.09844
-6.659470000000002,28.7343
-6.11401,28.65154
-5.894170000000003,28.85016
-5.714699999999997,29.04879
-5.641310000000001,29.09844
-5.617069999999998,28.99913
-5.519280000000002,29.13155
-5.470329999999997,29.04879
-5.413219999999999,29.04879
-5.3400500000000015,28.96603
-5.307669999999998,28.91637
-5.27515,28.68464
-5.226080000000003,29.28052
-5.177159999999997,29.08189
-5.15269,29.09844
-5.0956800000000015,29.04879
-5.063080000000003,29.18121
-5.030350000000002,29.115
-4.99775,28.91637
-4.90804,29.18121
-4.8999500000000005,29.18121
-4.9245100000000015,28.91637
-4.875410000000002,28.91637
-4.834759999999999,28.89982
-4.85126,28.93292
-4.834959999999999,28.78396
-4.75329,28.7674
-4.73704,28.86672
-4.737180000000002,28.68464
-4.778100000000002,28.91637
-4.721,28.81706
-4.655549999999998,28.89982
-4.590140000000002,28.78396
-4.58212,28.78396
-4.549439999999997,28.85016
-4.549470000000003,28.53568
-4.53323,28.80051
-4.54965,28.61844
-4.525170000000003,28.75085
-4.525259999999999,28.58533
-4.5088500000000025,28.2874
-4.47617,28.56878
-4.484469999999998,28.46947
-4.427249999999997,28.60188
-4.3782700000000006,28.51912
-4.361910000000002,28.48602
-4.370209999999997,28.37016
-4.3458000000000006,28.23774
-4.321279999999998,27.95636
-4.296819999999997,28.13843
-4.313110000000002,28.17153
-4.296960000000002,28.08877
-4.280610000000003,28.3536
-4.256150000000002,28.13843
-4.215250000000001,28.13843
-4.182549999999999,28.15498
-4.182670000000002,27.92325
-4.166360000000001,27.82394
-4.133759999999999,28.15498
-4.12556,27.9067
-4.141960000000001,27.9067
-4.11749,27.89015
-4.093,27.84049
-4.07666,27.92325
-4.060320000000001,27.4929
-4.044039999999999,27.8736
-3.9786499999999982,27.54255
-3.9295299999999997,27.65842
-3.9622100000000025,27.62531
-3.954080000000001,27.55911
-3.921430000000001,27.32738
-3.8969299999999976,27.39359
-3.8560700000000026,27.22807
-3.8724900000000027,27.22807
-3.9134400000000014,27.29428
-3.9133899999999997,27.17841
-3.864340000000002,27.16186
-3.8480300000000014,27.12875
-3.8236199999999982,27.04599
-3.8318200000000004,26.83082
-3.8155300000000025,26.89703
-3.791030000000003,26.86392
-3.758300000000002,26.63219
-3.74193,26.61564
-3.701080000000001,26.56598
-3.6766199999999998,26.81427
-3.6684699999999992,26.6984
-3.684850000000001,26.30115
-3.6685100000000013,26.15219
-3.652190000000001,26.01977
-3.611329999999999,26.21839
-3.5786199999999972,26.10253
-3.5950099999999985,26.08598
-3.6195099999999982,25.95356
-3.5459700000000005,25.93701
-3.562339999999999,26.00322
-3.5787600000000026,25.97011
-3.505200000000002,25.92046
-3.5215899999999998,25.93701
-3.49709,25.90391
-3.48893,25.75494
-3.4807999999999986,25.8377
-3.4480299999999993,25.80459
-3.4644399999999997,25.8708
-3.4644399999999997,25.90391
-3.48085,25.65563
-3.4972600000000007,25.77149
-3.521889999999999,25.68873
-3.4891599999999983,25.77149
-3.505489999999998,25.75494
-3.4892000000000003,25.73838
-3.472899999999999,25.70528
-3.4565599999999996,25.60597
-3.464739999999999,25.73838
-3.47297,25.53976
-3.391180000000002,25.57287
-3.3748600000000017,25.57287
-3.3340400000000017,25.72183
-3.3258800000000015,25.44045
-3.3012300000000003,25.34114
-3.2685400000000016,25.24183
-3.2439999999999998,25.44045
-3.2604000000000006,25.25838
-3.2440800000000003,25.14251
-3.2032200000000017,25.12596
-3.1787300000000016,25.09286
-3.1951399999999985,25.0101
-3.1869000000000014,25.0432
-3.24418,25.0763
-3.2360700000000016,25.09286
-3.2115599999999986,25.24183
-3.2033699999999996,24.97699
-3.18703,25.10941
-3.1707099999999997,24.86113
-3.170650000000002,25.14251
-3.13795,24.79492
-3.1216299999999997,24.76182
-3.0971100000000007,24.59629
-3.072610000000001,24.69561
-3.072659999999999,24.36457
